name,borough,extant,cast,materials,MaintainedByParks
River That Flows Two Ways,Manhattan,Y,2000,Panels--cast iron; two panels--glass; two running bands--bronze,Y         
Robert F. Kennedy Memorial,Brooklyn,Y,1972,"Bust--bronze; pedestal and base--Kitledge gray granite (New Milford, New Hampshire)",Y         
Robert F. Wagner Tree Marker,Manhattan,Y,1960,Bronze,
Robert Fulton,Brooklyn,Y,1955,"Figure--bronze, pedestal facing--dark Quincy granite (polished)",Y         
Robert Moses Tree Marker,Manhattan,M,1961,Bronze,
Robert Ray Hamilton Fountain,Manhattan,Y,Circa 1906,Tennessee marble,Y         
Rockaway Mosaic,Queens,Y,ca. 1981,"145,000 Italian glass and ceramic tiles set into concrete",Y         
S.S. Savannah Memorial Weathervane,Manhattan,N,ca. 1955,weathervane--bronze; pole--wood (?),
"Sailor, Soldier, Marine",Queens,Y,ca. 1938,Paint,Y         
Rockaway Veterans Memorial,Queens,Y,1927,Figure and plaques--bronze; pedestal--Deer Isle granite,Y         
Rockaway Veterans Memorial Tree Markers,Queens,Y,1975,Plaques--bronze;,Y         
Rockaway Women Veterans Monument,Queens,Y,1989,"Bronze, granite",Y         
Rocky Mountain Goats,Manhattan,Y,1935,Indiana limestone,
Rocky Mountain Sheep,Manhattan,Y,1935,Indiana limestone,
Romeo and Juliet,Manhattan,Y,1978,Bronze and granite,Y         
Ronald McNair,Brooklyn,Y,ca. 1994,Missouri red granite (polished); bronze,Y         
S. Parkes Cadman Memorial,Brooklyn,N,ca. 1939,"Bronze, granite",
Salvation Army Monument,Manhattan,Y,ca. 1952,"Barre granite, bronze",Y         
Sambur Attacked by Wolves,Brooklyn,Y,1935,,
Sand Fleas,the Bronx,Y,ca. 1936,Stone,
Saratoga Park Memorial,Brooklyn,Y,ca. 1921,"Bronze, Milford pink granite",
Scorpions,the Bronx,Y,ca. 1936,Stone,
Sculpture,Manhattan,Y,ca. 1905,Westerly granite,
Seal of the State of New York (aka Excelsior),Manhattan,Y,ca. 1900,"Cast iron, granite",Y         
Seat,the Bronx,Y,ca. 1987,"Chair and dictionary--bronze (light blue-green patina); Boulder--Stony Creek, Connecticut pink granite",Y         
Sport Fish,the Bronx,Y,ca. 1936,Stone,
Shelter Pavilion Plaque,Brooklyn,Y,ca. 1982,,Y         
Sheridan Square Viewing Garden Plaque,Manhattan,Y,ca. 1983,Bronze,Y         
Simon Bolivar Monument,Manhattan,Y,1919,Statue and coats of arms--bronze; Pedestal--black granite (polished),Y         
Sixty First District Memorial,Brooklyn,Y,1922,"Relief and wreaths--bronze; stele--Stony Creek granite (polished); base, plinth, terrace, and benches--Stony Creek granite",Y         
Skagerrak,Manhattan,Y,ca. 1971,Cor-ten steel,Y         
Slocum Disaster Memorial,Manhattan,Y,ca. 1906,Tennessee pink marble,Y         
Snow Babies,Manhattan,Y,circa 1937,Cast stone,Y         
Socrates,Queens,Y,ca. 1993,Figure--bronze; Base--black Carolina granite,Y         
Sophocles,Queens,Y,2010,Bronze and Mountain Green granite,Y         
Soul In Flight: Arthur Ashe Memorial,Queens,Y,2000,Figure--bronze; plate---brass; footing---concrete,
