PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %)
HYDERABAD,35,934,58,2711,97,6,15,14,16,54,54
NALGONDA,35,988,34,4038,94,8,28,23,34,69,56
MAHBUBNAGAR,35,1007,30,3504,78,5,37,18,34,64,50
RAJAHMUNDRY,39,973,35,2480,97,9,28,15,28,59,62
VIJAYAWADA,39,1037,38,2183,96,5,22,20,27,58,59
NAGARKURNOOL(SC),35,1007,30,3504,78,5,37,18,34,64,50
AMALAPURAM (SC),39,927,35,1843,96,12,27,15,27,63,64
NARSAPURAM,39,1020,35,3118,97,6,28,14,30,55,59
NARASARAOPET,39,1015,30,1267,97,9,22,17,29,68,57
MACHILIPATNAM,39,1037,38,2183,96,5,22,20,27,58,59
GUNTUR,39,1015,30,1267,97,9,22,17,29,68,57
ONGOLE,39,1016,28,1616,91,11,28,15,30,56,57
BAPATLA (SC),39,1015,29,1441,94,10,25,16,29,62,57
NANDYAL,39,1021,24,1310,75,2,44,18,37,54,54
KURNOOL,39,1021,24,1310,75,2,44,18,37,54,54
NELLORE,39,1016,28,1616,91,11,28,15,30,56,57
ANANTAPUR,39,1000,30,3509,89,4,40,15,39,53,52
KADAPA,39,0,0,0,0,0,0,0,0,0,0
HINDUPUR,39,1000,30,3509,89,4,40,15,39,53,52
TIRUPATI (SC),39,1079,39,1686,94,2,31,18,32,46,48
RAJAMPET,39,1079,39,1686,94,2,31,18,32,46,48
CHITTOOR (SC),39,1079,39,1686,94,2,31,18,32,46,48
ARUNACHAL EAST,30,937,29,5191,53,5,27,19,19,51,37
ARUNACHAL WEST,30,982,29,7144,48,7,31,16,16,43,32
VALMIKI NAGAR,48,936,17,3156,64,10,43,21,39,62,58
PASCHIM CHAMPARAN,48,1000,15,2847,54,13,45,19,39,64,56
SITAMARHI,60,1103,12,2277,37,13,57,15,47,69,59
SHEOHAR,50,1103,13,2337,45,14,52,16,43,66,56
PURVI CHAMPARAN,48,1064,13,2538,45,16,47,18,40,65,54
JHANJHARPUR,48,1147,18,2597,50,9,51,19,45,62,61
MADHUBANI,46,1146,18,2563,48,12,50,17,43,66,63
KISHANGANJ,54,1088,13,1712,51,11,49,21,46,65,68
ARARIA,52,1110,12,2318,51,14,48,22,45,61,65
GOPALGANJ (SC),46,1160,26,4474,75,18,35,16,30,63,58
SUPAUL,61,1126,14,1520,61,9,49,22,46,66,62
MUZAFFARPUR,55,1059,23,1970,62,16,47,17,42,58,52
VAISHALI,47,1041,25,1703,70,13,50,16,41,62,57
SIWAN,43,1119,29,1609,75,11,37,15,31,63,60
MAHARAJGANJ,46,1097,28,2238,68,13,42,16,36,62,57
DARBHANGA,44,1145,18,2529,47,15,49,16,41,69,66
MADHEPURA,59,1087,16,1180,60,9,47,24,46,64,58
SAMASTIPUR (SC),46,1104,20,1959,60,13,49,17,41,67,62
PURNIA,52,1065,15,1154,56,13,50,20,46,63,66
SARAN,44,1049,28,2152,70,12,49,16,40,64,58
KATIHAR,52,1039,15,1030,51,10,49,20,45,61,63
HAJIPUR (SC),40,1023,28,1437,78,10,53,15,41,67,62
UJIARPUR,44,1043,25,1413,76,10,51,16,41,66,60
KHAGARIA,54,1050,20,1202,68,9,47,19,42,65,59
BEGUSARAI,40,1044,21,1209,75,7,44,18,39,62,59
BUXAR,46,1030,30,1207,80,4,48,20,44,61,57
PATALIPUTRA,31,964,39,1647,86,3,43,28,43,51,57
ARRAH,41,1033,28,1214,80,12,43,26,47,70,61
PATNA SAHIB,31,964,39,1647,86,3,43,28,43,51,57
BHAGALPUR,49,1015,26,1036,69,8,46,23,40,70,61
MUNGER,39,982,31,1339,78,8,46,23,44,60,61
NALANDA,47,1037,24,888,78,6,54,24,50,59,61
BANKA,46,1010,21,1079,70,7,48,24,44,70,64
JAHANABAD,48,1089,28,1126,69,6,52,22,50,60,59
NAWADA,49,1103,21,1230,67,6,46,26,48,61,62
SASARAM (SC),46,1028,30,1144,80,4,51,20,46,62,59
KARAKAT,42,1056,32,1482,76,4,48,22,46,57,58
JAMUI (SC),48,1036,22,1233,72,7,46,26,47,63,64
AURANGABAD,44,1080,28,1467,64,5,50,25,50,56,58
GAYA (SC),49,1076,24,1027,56,4,52,25,53,59,61
SURGUJA (ST),50,1024,19,1677,64,9,32,22,34,38,35
KORBA,46,1015,25,1226,71,11,32,27,34,34,40
RAIGARH (ST),55,990,24,3130,63,7,37,18,36,34,38
BILASPUR,38,1013,26,1112,77,17,34,26,33,31,39
RAJNANDGAON,53,1028,28,864,83,6,48,17,36,29,43
JANJGIR-CHAMPA (SC,45,1021,30,1714,65,7,37,20,36,41,45
DURG,35,997,35,2547,71,6,34,21,36,44,49
RAIPUR,45,1004,28,1354,69,5,38,19,37,47,50
MAHASAMUND,49,1023,26,1058,76,8,38,22,38,45,51
KANKER (ST),42,1037,27,1157,74,8,36,28,44,54,59
BASTAR (ST),42,1051,16,626,62,9,42,33,51,65,71
NORTH WEST DELHI (SC),20,788,61,6933,82,7,28,20,31,67,57
NORTH EAST DELHI,20,788,61,6933,82,7,28,20,31,67,57
CHANDNI CHOWK,20,788,61,6933,82,7,28,20,31,67,57
EAST DELHI,20,788,61,6933,82,7,28,20,31,67,57
WEST DELHI,20,788,61,6933,82,7,28,20,31,67,57
NEW DELHI,20,788,61,6933,82,7,28,20,31,67,57
SOUTH DELHI,20,788,61,6933,82,7,28,20,31,67,57
NORTH GOA,10,1030,61,6818,98,5,21,17,23,48,33
SOUTH GOA,10,1015,57,4288,96,3,19,22,23,48,30
BANASKANTHA,35,991,14,3416,89,6,40,21,43,57,50
SABARKANTHA,35,957,31,2083,88,6,50,23,45,72,67
PATAN,35,952,21,2330,92,8,39,23,41,67,57
KACHCHH (SC),35,929,29,1551,87,5,35,27,35,69,57
MAHESANA,35,925,28,1399,94,4,38,27,42,75,63
SURENDRANAGAR,35,928,34,2397,87,9,37,27,38,76,62
PANCHMAHAL,35,1010,25,5485,84,11,42,31,45,51,52
DAHOD (ST),35,1083,26,1563,81,11,42,30,46,54,53
