PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %),Rural_MPCE_URP,Urban_MPCE_URP,Rural_MPCE_MRP,Urban_MPCE_MRP,Rural_LFPR,Urban_LFPR
MADURAI,20,1007,48,3141,98,9,21,12,19,54,52,2107.167941,2122.918877,1584.072888,2279.755384,0.674129526296653,0.556927213169491
THENI,20,1010,46,2588,97,7,24,13,20,52,51,1796.5086805,1838.836697,1571.1119585,1986.4003915,0.704650408563104,0.586584788195393
RAMANATHAPURAM,20,1089,43,4644,98,7,26,18,24,48,53,1565.217408,1735.21819033333,1557.51215633333,1826.880028,0.672581417628417,0.587452571495449
VIRUDHUNAGAR,20,1043,44,4840,97,8,25,15,22,53,54,1781.03908,1828.793081,1563.64651,2015.036725,0.686010003928212,0.593752598779191
TENKASI (SC),20,1101,39,5545,97,7,30,15,24,56,57,1471.558284,1746.435469,1615.66708,1921.8887945,0.6975235823414,0.604969312272393
THOOTHUKKUDI,20,1135,46,2585,99,7,21,12,17,56,59,1098.962814,1537.791391,1231.214188,1612.766263,0,0
TIRUNELVELI,20,1124,40,4552,99,6,30,12,22,61,59,1488.206349,1958.203653,1688.114028,2093.459523,0.697156683123029,0.579360640155896
KANNIYAKUMARI,20,1110,73,5025,99,6,17,9,12,37,44,2199.368488,2322.80569,3031.685302,3192.65474,0.598306097032593,0.50338049645006
JALPAIGURI (SC),28,988,21,4945,82,7,32,18,26,64,68,1043.8364569,1743.914061,1031.49716125,1785.8615445,0.534854664980541,0.488887660632041
COOCHBEHAR (SC),28,1008,20,6268,81,5,32,20,29,58,69,988.7014288,1624.10794,999.5785365,1686.117733,0.52916434574612,0.513163801217844
ALIPURDUARS (ST),28,988,21,4945,82,7,32,18,26,64,68,1043.8364569,1743.914061,1031.49716125,1785.8615445,0.534854664980541,0.488887660632041
DARJEELING,28,1007,24,4005,70,6,34,12,30,55,55,1329.666001,2013.766579,1422.321713,2081.242316,0.480411357782089,0.509181884517341
RAIGANJ,28,1023,17,3700,47,7,40,14,34,64,62,0,0,0,0,0.461402117465062,0.504803636704471
BALURGHAT,28,1023,19,6887,63,8,36,15,31,65,69,1110.668495,2340.268615,1057.258899,2096.593206,0.481565736193472,0.463747765818709
MALDAHA UTTAR,28,1019,19,2969,55,5,37,22,37,55,59,1035.657682,2993.960485,1017.614188,2166.266417,0.538712875468062,0.518977457778357
MALDAHA DAKSHIN,28,1051,20,17225,59,6,39,20,35,50,58,1025.9571815,2048.453431,1026.337665,1704.062641,0.539912797645927,0.562555246829093
JANGIPUR,28,1083,22,31481,63,7,41,17,34,46,57,1016.256681,1102.946377,1035.061142,1241.858865,0.541112719823792,0.606133035879829
MURSHIDABAD,28,1049,23,17312,78,5,32,14,26,41,57,1086.2946775,1331.328218,1095.8500685,1495.021786,0.527935501558405,0.620814700068683
BAHARAMPUR,28,1083,22,31481,63,7,41,17,34,46,57,1016.256681,1102.946377,1035.061142,1241.858865,0.541112719823792,0.606133035879829
KRISHNANAGAR,28,1015,24,3143,93,3,23,10,19,36,57,1156.332674,1559.710059,1156.638995,1748.184707,0.514758283293018,0.635496364257538
RANAGHAT (SC),28,1015,24,3143,93,3,23,10,19,36,57,1156.332674,1559.710059,1156.638995,1748.184707,0.514758283293018,0.635496364257538
BANGAON (SC),28,998,29,3701,90,4,23,12,18,45,59,1156.332674,1559.710059,1156.638995,1748.184707,0.514758283293018,0.635496364257538
BASIRHAT,28,981,35,4259,86,5,23,13,18,53,62,0,0,0,0,0,0
BARASAT,28,981,35,4259,86,5,23,13,18,53,62,0,0,0,0,0,0
BARRACKPUR,28,981,35,4259,86,5,23,13,18,53,62,0,0,0,0,0,0
DUM DUM,28,981,35,4259,86,5,23,13,18,53,62,0,0,0,0,0,0
JAYNAGAR (SC),28,1037,22,3742,52,5,27,20,27,65,66,0,0,0,0,0,0
MATHURAPUR (SC),28,1037,22,3742,52,5,27,20,27,65,66,0,0,0,0,0,0
