PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %),Rural_MPCE_URP,Urban_MPCE_URP,Rural_MPCE_MRP,Urban_MPCE_MRP,Rural_LFPR,Urban_LFPR
MUMBAI NORTH-EAST,22,869,43,3043,93,5,21,20,28,70,50,0,0,0,0,0,0
MUMBAI NORTH-WEST,22,869,43,3043,93,5,21,20,28,70,50,0,0,0,0,0,0
NANDED,22,1000,27,1982,84,11,40,20,34,53,47,1498.432168,1786.677455,1449.286337,1816.884352,0.720678991303859,0.488178992867806
MUMBAI NORTH-CENTRAL,22,869,43,3043,93,5,21,20,28,70,50,0,0,0,0,0,0
MAVAL,22,924,51,2716,94,6,26,26,32,53,51,1540.061824,2882.3821975,1644.0985405,3337.2312925,0.528726520070912,0.518118180499354
MUMBAI SOUTH -CENTRA,22,887,48,5629,95,5,23,23,25,67,49,0,0,0,0,0,0
MUMBAI SOUTH,22,906,52,8215,97,6,25,25,22,65,49,0,0,0,0,0,0
LATUR (SC),22,983,30,1734,87,13,37,21,34,53,42,1569.4025025,2006.6410705,1590.7059855,2093.28002,0.733705499271925,0.491184100010704
RAIGAD,22,1029,41,4008,96,6,29,25,33,51,50,1210.247534,2269.1098215,1328.9423305,2760.7730545,0.501797070310314,0.453168920108241
BARAMATI,22,924,52,2231,93,7,22,23,25,53,50,1979.980846,2958.864544,2073.552372,3138.262274,0.571626556205662,0.52311903846898
PUNE,22,924,52,2231,93,7,22,23,25,53,50,1979.980846,2958.864544,2073.552372,3138.262274,0.571626556205662,0.52311903846898
OSMANABAD,22,963,35,1659,88,11,34,22,37,47,39,1622.16759766667,1922.681263,1597.509634,1945.73247266667,0.709416822441137,0.552137778909502
MADHA,22,998,37,1660,91,11,24,23,31,53,46,1699.696197,2139.2717545,1659.1427745,2532.0677025,0.652133333666312,0.516254428742001
SATARA,22,1034,38,1867,96,15,23,23,27,55,49,1588.086096,2476.357176,1726.278043,3170.083588,0.596672955670406,0.464948759529651
SOLAPUR (SC),22,963,35,1453,86,8,25,24,34,51,44,1811.306298,1802.186333,1592.007506,1894.051817,0.707593711662219,0.567560097954351
RATNAGIRI ?SINDHUDUR,22,1067,39,5051,98,6,27,20,27,45,45,1429.3330485,1842.0866485,1565.580487,1985.8510195,0.499031298860446,0.429095134135035
SANGLI,22,1005,47,3480,95,9,23,17,24,49,51,1496.967836,1665.368372,1608.168239,1767.156589,0.496832659715611,0.448542700804527
HATKANANGLE,22,991,45,2849,95,10,25,21,28,47,49,1541.577584,1720.853189,1745.8575025,1786.4497345,0.50745188649852,0.452937661744532
KOLHAPUR,22,978,44,2219,95,12,26,25,31,45,46,1586.187332,1776.338006,1883.546766,1805.74288,0.518071113281429,0.457332622684537
OUTER MANIPUR,11,1025,38,8664,51,4,33,7,14,23,23,1277.91802,1195.57051156667,1355.3083275,1307.91111603333,0.512694359341855,0.491189556828745
INNER MANIPUR,11,1046,44,10149,74,6,27,6,14,23,27,1319.92056325,1364.20249625,1354.059176,1439.992658,0.508946107336294,0.508271966401266
SHILLONG (ST),46,992,25,2040,48,8,50,13,31,40,51,1248.27847025,1843.04444875,1289.9996205,1896.867556,0.68958992676034,0.558014873540065
TURA (ST),46,1024,38,3979,59,19,26,23,25,67,61,1326.91645233333,1869.51726866667,1368.258846,1918.684137,0.686900340112034,0.531571985985029
MIZORAM (ST),32,977,31,3530,70,5,30,8,14,25,29,1294.2995895,2034.17406185714,1366.087440625,2151.41629271429,0.694117006644891,0.601543159908098
MAYURBHANJ (ST),47,1032,23,3752,85,16,43,17,43,34,42,727.950304,1529.968613,691.4908465,1587.498963,0.591453223230246,0.437793087118626
SUNDARGARH (ST),47,1040,34,3247,88,5,37,31,44,75,71,1037.486518,1683.565038,896.5201064,1739.226744,0.70501938550553,0.515144853204922
SAMBALPUR,51,1011,26,3849,88,8,35,23,39,45,53,892.487568333333,1877.200232,959.240691,1950.343339,0.587758536771709,0.508783095502361
KEONJHAR (ST),50,1048,25,3783,79,18,44,18,44,33,41,736.6877172,1676.325765,728.0925313,1748.734653,0.542208680265005,0.445989389830242
BALASORE,46,1060,27,3577,88,18,38,17,38,31,41,870.02211,1745.911402,841.0305269,1757.2832115,0.533673555398208,0.475254116068396
BARGARH,51,1002,30,4812,93,4,36,24,37,67,68,914.82715455,1719.4613535,965.38270415,1918.112018,0.629458729012082,0.475997510682659
DHENKANAL,57,980,30,3976,90,6,28,20,32,38,41,1085.470386,2347.2347745,1128.864448,2481.0529,0.49028218663703,0.553180010802479
BHADRAK (SC),46,1081,30,3798,89,16,34,16,30,25,42,925.1667654,1668.266952,945.6489404,1658.89734,0.443146422275155,0.525256021639495
JAJPUR (SC),48,1020,34,5141,93,8,30,16,30,30,43,982.4843063,1618.402154,1065.468139,1496.850173,0.469536242981227,0.475623167155425
BOLANGIR,73,1032,21,4988,87,8,44,26,44,67,61,793.4592197,1108.926983,852.5785441,1225.257372,0.598183257154209,0.511383579032132
KALAHANDI,57,1027,19,4714,79,6,37,25,39,65,66,756.68748065,1212.751618,728.4941923,1281.5388625,0.507692082837677,0.543828662773393
KANDHAMAL,61,1046,20,3855,84,10,34,19,33,37,45,809.158136175,1659.37695375,850.36491565,1780.93052175,0.613152609548275,0.568732959260447
KENDRAPARA,57,1060,31,5210,94,11,21,10,20,23,40,976.59864155,1799.544789,1005.8603251,1890.232545,0.482440382755769,0.513800577165796
CUTTACK,52,1000,27,4661,93,12,21,13,21,22,38,903.7492212,1945.4329955,946.685892,1965.227656,0.534594030952339,0.560743368902995
BHUBANESWAR,67,980,38,4789,85,7,24,13,20,19,45,900.0602427,2359.291692,1009.886803,2491.177857,0.446410596447283,0.48376475532096
JAGATSINGHPUR (SC),59,1019,33,5810,96,7,16,11,16,23,39,935.060106533333,1796.041757,973.898729733333,1775.188809,0.49507147848578,0.681692081756956
PURI,63,995,30,5165,91,10,22,14,20,24,43,905.673938066667,1772.16634866667,952.738099066667,1833.91245133333,0.480869246163369,0.590543339035712
NABARANGPUR (ST),48,1027,12,1883,66,6,43,32,49,71,68,664.242564633333,1286.767228,688.784526433333,1443.01320133333,0.646367985515974,0.480990104388059
ASKA,56,1111,22,5050,91,4,28,16,21,37,41,1013.595392,1067.965043,1093.277207,1171.577818,0.596562825871712,0.647046140577835
KORAPUT (ST),53,1046,13,2128,70,6,41,25,43,60,59,777.73130325,1100.587103,743.66068885,1060.1765543,0.618599391560186,0.439591100798443
BERHAMPUR,56,1068,19,3939,77,5,30,17,26,47,49,845.2859497,1202.789567,910.1339662,1316.4360345,0.677228201797155,0.586159238316248
PONDICHERRY,14,1102,64,2445,99,7,26,17,21,43,47,2651.749939,2335.10741075,2514.038819,2613.7537915,0.465365404542334,0.465575548643988
GURDASPUR,24,898,62,1631,87,3,22,15,21,71,54,2059.628632,2055.882799,2075.837577,2244.428847,0.399909437209832,0.479685411297024
HOSHIARPUR (SC),24,933,62,1789,89,6,22,16,20,66,57,1989.530537,2295.921886,2062.55481633333,2540.79166133333,0.430810345280588,0.494518107862129
AMRITSAR,24,916,53,1949,90,4,22,10,12,45,53,1895.173364,2118.083177,2001.725041,2288.723655,0.464103584388047,0.478980832087401
KHADOOR SAHIB,24,921,49,1915,89,7,23,16,21,52,55,1917.083635,2363.21812366667,1973.68575033333,2599.11323566667,0.467563150969378,0.491226316987383
JALANDHAR (SC),24,953,68,3135,95,8,29,17,25,60,53,1827.589907,3355.023454,1938.064361,3208.485292,0.45835676573369,0.50623499721376
ANANDPUR SAHIB,24,946,62,1657,91,5,22,15,20,64,67,2010.10128833333,2354.71179366667,2166.19071266667,2547.280207,0.424374393586762,0.517611465555919
FIROZPUR,24,875,41,1306,90,5,29,18,26,55,52,2110.3052865,2010.457702,1906.136517,2208.149742,0.456746781991203,0.505028290964318
LUDHIANA,24,862,62,1269,82,4,30,17,28,60,65,1878.393544,2377.240232,2036.67504,2457.507843,0.486315556181507,0.541481899085879
FATEHGARH SAHIB (SC,24,894,56,2701,88,7,25,16,21,58,55,2008.0315135,2556.8028365,2120.165777,2655.171631,0.457719408066492,0.547073498258817
FARIDKOT (SC),24,889,48,1475,94,4,29,17,22,54,45,2180.24356,2671.54202475,2104.8936,2967.025309,0.487326729455412,0.474219084220777
PATIALA,24,898,52,2594,92,8,22,15,16,50,44,2389.363875,2862.2985555,2516.6084235,3039.034681,0.464939070852899,0.493636945525169
SANGRUR,24,893,47,2973,88,10,27,18,19,51,47,2137.669483,2736.365441,2203.656514,2852.835419,0.427984129590491,0.473531699138849
BATHINDA,24,894,45,1491,93,4,28,14,21,53,47,2590.54232233333,2684.19726366667,2206.12318766667,2804.68154133333,0.47736316277447,0.475264833185511
GANGANAGAR(SC),48,928,30,896,86,5,32,20,26,43,34,1693.801564,1846.5709935,1666.6205545,1955.5106335,0.458238121574968,0.393862281200287
CHURU,46,968,26,1230,82,5,33,21,25,44,34,1565.4322925,1621.9301915,1570.006597,1748.5868185,0.438582672773767,0.374351582861241
BIKANER (SC),49,964,26,1495,80,7,31,22,29,44,37,1488.708258,1964.14541133333,1479.13461633333,1929.19334833333,0.438322443580206,0.380307048242437
JHUNJHUNU,49,1017,32,1633,94,8,30,12,20,47,35,1635.1526415,2140.287589,1797.214044,2192.1419575,0.46376437353801,0.420601361127252
BARMER,60,948,9,1355,55,6,36,23,38,51,38,1349.3160485,1969.855124,1384.816679,1874.0362665,0.524483310347424,0.488978316817242
ALWAR,52,937,28,1487,81,6,41,18,35,53,40,1619.330828,1752.509676,1687.370093,1968.930605,0.524197483191055,0.537592906216348
JODHPUR,48,934,17,11822,61,6,38,22,38,53,38,1426.1933895,1850.9109555,1413.5941605,1780.326313,0.528165990239051,0.502617788932526
SIKAR,50,967,32,2375,92,11,32,12,22,49,29,1549.8011095,2520.8664035,1646.553943,2521.2508025,0.480694840375111,0.469661381964789
JAIPUR RURAL,51,928,33,1926,87,9,38,15,30,51,33,1596.661501,2182.757864,1632.070715,2350.1180325,0.492436358968295,0.504368731816034
BHARATPUR (SC),50,953,25,1641,80,8,44,16,33,55,40,1403.7607535,1625.9366575,1467.7056335,1780.8098375,0.502955919210207,0.439405089545356
NAGAUR,52,1011,23,9395,86,4,39,18,31,50,38,1320.181917,1495.455224,1432.348059,1587.926707,0.770804926800662,0.620652793546545
DAUSA (ST),51,957,31,1824,88,8,37,15,29,49,31,1639.89005233333,2315.490854,1610.405514,2293.955333,0.458359134062975,0.490384229595258
RAJSAMAND,53,1005,24,3317,85,7,38,25,37,62,50,1462.57584575,1985.4353515,1465.9585645,1884.5483115,0.705966907938859,0.509062636078248
PALI,50,1004,22,11537,77,5,42,22,39,58,46,1651.801228,1929.3679945,1528.7267655,1868.646767,0.597755362524108,0.428522882273105
AJMER,50,936,34,1913,90,11,34,22,32,59,40,1570.773078,2633.704614,1580.98881,2424.702285,0.568624982834484,0.479830030829559
JAIPUR,50,920,38,2364,93,13,35,12,25,49,27,1573.992174,2613.006052,1576.771337,2731.30546,0.460675234745536,0.471144557415719
KARAULI ?DHOLPUR(SC),63,952,20,1344,86,9,49,17,37,51,42,1217.6588065,1551.3396395,1276.3572615,1643.572693,0.435445045095806,0.388558618868861
TONK ? SAWAI MADHOPUR,62,994,18,1241,90,6,35,20,35,62,50,1480.539173,2275.3160985,1471.610661,1863.5870385,0.490499589001202,0.422207520938819
BHILWARA,64,964,21,844,87,5,36,30,43,75,59,1416.9784265,2090.450055,1368.2444675,2027.315852,0.697459573320147,0.495053906611213
JALORE,68,978,13,1071,84,5,43,31,46,68,59,1158.49271635,2203.401264,1254.0678061,2189.9970965,0.622767671213121,0.461320055206385
KOTA,50,936,27,861,92,4,35,27,41,76,61,1434.985467,2017.878265,1361.642308,1986.130774,0.570815309236799,0.454411055419982
JHALAWAR-BARAN,59,953,19,3260,95,3,39,30,44,76,62,1515.8644575,1521.5626405,1403.211669,1409.6647455,0.4871203718798,0.443130365273558
CHITTORGARH,63,1005,20,894,79,7,42,26,46,75,65,1165.011678,2881.2525945,1168.365306,3028.544184,0.746018859970581,0.509691197040446
UDAIPUR (ST),63,1025,23,1152,80,9,47,33,52,77,71,1007.391062,2680.5750995,992.1317404,2771.851949,0.731384832176135,0.576518292692243
BANSWARA(ST),60,996,21,3196,89,6,48,34,52,80,74,1117.092209,2290.9719735,1113.9283799,2510.174058,0.768289476905579,0.501355760077803
SIKKIM,19,0,0,0,0,0,0,0,16,58,36,1386.39350825,2317.1969715,1452.0677725,2420.610843,0.771656855233378,0.636915986229799
TRIPURA EAST(ST),21,994,20,4177,77,4,26,18,25,47,54,1194.21778585,1847.536846,1294.05232,1978.418584,0.541617783726862,0.508776639044144
TRIPURA WEST,21,998,24,4707,83,4,22,17,22,51,54,1045.3826122,1882.6366525,1119.4928475,1971.301374,0.548511669171024,0.523010186292806
TEHRI GARHWAL,43,1042,51,1955,73,18,31,38,38,62,46,1472.78601433333,2539.317838,1491.64667233333,2642.388056,0.4470598073315,0.409233773101704
GARHWAL,32,1139,51,2716,66,15,29,23,27,57,40,1416.0306904,2538.2185094,1471.8857802,2545.1348838,0.471466519973407,0.463130497190961
ALMORA (SC),27,1156,40,2120,67,18,29,19,21,46,36,1512.96465975,2695.36489125,1536.73016325,2668.6002015,0.665159523407525,0.485818504867159
HARDWAR,49,932,44,1998,73,17,33,21,27,60,48,1639.407485,2497.7409655,1642.0650435,2620.535293,0.440234845580091,0.462511091418535
NAINITAL-UDHAMSINGH NAG,32,973,44,4010,66,15,34,10,22,61,45,1911.058287,2593.148329,1828.589358,2208.1951215,0.567687422203255,0.509685848006058
SAHARANPUR,76,954,33,2146,62,19,36,18,36,75,61,1386.957461,2294.954778,1418.912422,2117.903727,0.465699894366708,0.464172552700596
KAIRANA,63,968,32,1835,64,18,38,18,36,77,62,1379.292941,2176.2014345,1392.340325,2087.662254,0.4635330494447,0.44811785049122
NAGINA (SC),62,1025,32,4615,73,10,42,22,41,72,58,1059.636397,1381.288696,1068.202168,1404.759552,0.483883036562179,0.549738352950254
MORADABAD,63,999,29,3187,67,13,43,19,42,73,60,1016.20433445,1364.6661305,1074.3648765,1384.09371,0.456320882267596,0.491227578702443
BIJNOR,54,979,33,2388,68,17,39,20,37,74,60,1354.246415,1979.388948,1464.08870766667,1954.24090533333,0.487376176185821,0.474929555969053
MUZAFFARNAGAR,50,956,33,1275,65,21,38,18,36,75,62,1501.551424,2278.439074,1662.0319775,2228.981582,0.489122745997642,0.437525157478452
BAGHPAT,49,909,40,1363,69,19,35,15,32,71,60,1502.131466,2864.59407233333,1765.770583,2956.96841266667,0.437451959270972,0.452322137663012
RAMPUR,60,986,20,1164,61,20,46,20,44,77,58,1022.455562,903.7155566,1091.622294,987.5583007,0.478801378917623,0.493912738443089
MEERUT,48,914,40,1503,66,20,35,16,32,67,58,1493.8827875,3230.7177555,1706.0413875,3290.3725125,0.457008828619877,0.467358176435709
AMROHA,59,951,36,1459,67,11,39,18,36,68,61,1356.291148,3962.005454,1453.787048,4180.202642,0.397138369767161,0.491729186196356
SAMBHAL,64,973,25,1760,61,17,45,16,43,74,62,972.7722719,1348.043565,1080.527585,1363.427868,0.428758727973013,0.432716804454633
GHAZIABAD,46,899,43,1981,68,16,34,13,29,62,56,1356.291148,3962.005454,1453.787048,4180.202642,0.397138369767161,0.491729186196356
PILIBHIT,75,958,23,902,61,18,48,20,43,75,55,1019.12994085,1292.2503285,1094.20829,1364.916328,0.477735970753777,0.504093740089308
BAREILLY,78,979,23,998,59,19,45,18,42,74,53,1080.969181,1313.995107,1167.723732,1310.868044,0.46049687229767,0.49142331981337
BULANDSHAHR (SC),68,1002,28,3482,68,10,43,16,33,65,56,0,0,0,0,0.453995352259864,0.440460260559728
GAUTAM BUDDHA NAGAR,62,923,36,3022,69,12,37,16,31,67,56,1496.597274,6236.614466,1546.740685,6453.309234,0.453995352259864,0.440460260559728
KHERI,78,935,15,1383,52,11,53,17,40,49,43,966.0646394,962.0166398,935.5085969,893.647453,0.492121181266058,0.425914916168161
AONLA,81,980,20,1126,59,17,50,19,47,66,50,1007.12847355,1274.2885255,1091.7938005,1272.2455355,0.455016857417561,0.450348756680878
BADAUN,84,981,17,1255,58,16,55,20,53,58,47,933.2877661,1234.581944,1015.863869,1233.623027,0.449536842537452,0.409274193548387
SHAHJAHANPUR (SC),80,952,23,1043,52,11,49,23,54,76,60,931.8105158,1133.473894,921.3043208,1175.330136,0.470049636138924,0.469183791063871
BAHRAICH (SC),66,988,16,2356,37,21,65,13,44,73,52,823.5081015,1254.415805,828.0058577,1313.088403,0.473491883178449,0.507703462026464
ALIGARH,70,932,29,2073,65,19,49,14,38,66,56,1213.782036,2252.992575,1135.256772,2009.004555,0.500832213316674,0.439028120499253
DHAURAHRA,79,923,18,1475,60,15,55,15,44,51,40,942.2600266,1124.4158174,968.94917695,1146.570916,0.485423932311789,0.443568503912517
ETAH,67,940,31,1430,61,13,51,9,32,40,36,1444.595567,2041.45754,1435.598532,2354.023166,0.490745048486796,0.419796239470581
HATHRAS (SC),63,932,29,2073,65,19,49,14,38,66,56,1360.83427,1871.0092235,1340.787124,1672.111288,0.503760147199171,0.444139448997152
MATHURA,44,903,32,1328,70,10,40,12,27,56,45,1075.996896,1406.604106,1108.847985,1444.738782,0.456205666947104,0.486861988784372
SHRAWASTI,91,1059,11,1814,39,13,63,10,41,71,52,936.30319535,1031.867222,890.21665925,1150.227706,0.506096835151494,0.426204733463037
SITAPUR,80,912,21,1568,67,18,56,14,48,52,38,918.4554138,1286.814995,1002.389757,1399.494379,0.47872668335752,0.461222091656874
HARDOI (SC),81,945,24,1488,65,11,50,14,39,44,33,954.4258455,1034.354646,967.1575483,1045.825667,0.490228489999987,0.568668157138294
FARRUKHABAD,72,960,30,1380,56,12,50,9,31,39,31,1308.8677775,1592.8945095,1292.4916705,1752.1080235,0.45514139593471,0.430862327185985
AGRA (SC),59,940,33,1889,70,13,47,12,33,45,39,1277.6621205,1832.470086,1249.0548605,2033.9255525,0.437041225316166,0.4422513601727
FIROZABAD,56,961,32,1441,67,14,44,11,27,47,34,1045.400764,1155.658288,1014.129583,1229.251044,0.486715749165375,0.473657916548961
KAISERGANJ,68,1022,18,2498,46,17,61,11,41,73,53,874.407316,1840.074379,945.64147235,1900.5952335,0.448339416203783,0.503394356577489
MISRIKH (SC),66,915,35,1600,69,13,50,17,43,56,43,975.338718433333,1422.159611,1036.29808876667,1467.01979666667,0.500480144541624,0.490613907352746
DOMARIYAGANJ,87,1117,18,1863,45,29,57,13,43,65,56,1122.59846,1420.443435,1220.058342,1177.99103,0.453984157164159,0.479943100995733
MAINPURI,53,959,38,1469,67,12,49,11,32,40,27,953.86133495,1095.8280615,940.25049,1071.8790205,0.445623710939419,0.450308019477
MAHARAJGANJ,78,1093,20,2191,61,17,53,12,37,58,48,0,0,0,0,0.512531417290025,0.518770899944851
GONDA,79,1067,16,2126,43,12,59,10,41,72,55,903.8932389,1740.81649,977.6618992,1782.167401,0.470240483875509,0.467900799209868
MOHANLALGANJ (SC),62,915,38,1660,77,14,46,23,46,62,48,976.0877434,1680.939142,1066.3830905,1858.7594635,0.480077553874166,0.488106930042764
BARABANKI (SC),68,1022,25,2625,62,12,51,12,40,43,38,821.704841,870.0699725,900.2250029,910.5148613,0.545482037123682,0.402733261439284
FATEHPUR SIKRI,51,941,36,2348,78,13,44,14,34,51,43,1110.728674,1623.482632,1062.511189,1713.827939,0.383337402145536,0.464706480874818
KUSHI NAGAR,80,1094,25,4125,70,19,45,14,35,58,50,1176.731785,1130.130033,1108.309306,1376.322531,0.402929408652988,0.470020473822755
KANNAUJ,67,939,35,1378,68,13,46,18,38,62,52,1150.13848016667,1278.26929333333,1054.6148958,1309.16372533333,0.493525220098459,0.479326063329951
GORAKHPUR,62,1098,38,2301,76,25,42,19,35,59,51,1004.002678,1780.635174,993.0436652,1819.801221,0.416753457360306,0.377248551897733
BASTI,81,1086,30,4428,73,10,48,14,33,71,55,743.3943252,1201.272966,861.0532013,1370.669052,0.46152356819055,0.494861660079051
SANT KABIR NAGAR,62,1109,37,2014,75,21,45,17,37,63,52,1030.47678326667,1210.36102773333,1015.1965294,1280.04240833333,0.416753457360306,0.377248551897733
UNNAO,58,1011,28,1130,68,8,46,13,34,43,36,893.3147788,1129.638146,860.4550645,1273.050601,0.525814182165593,0.448433929966686
FAIZABAD,78,1039,30,2189,70,15,50,15,42,53,49,999.218722,1306.65955825,1138.86328095,1271.14385015,0.486498838334211,0.446531731596777
LUCKNOW,44,919,56,1752,88,9,37,33,44,72,58,1033.720073,2075.063289,1130.376424,2318.024548,0.481428424390813,0.514991768428654
ETAWAH (SC),59,921,38,1378,72,11,47,17,38,61,52,1170.85881033333,1331.228661,1078.57296466667,1339.447006,0.476265327955855,0.423759206777938
DEORIA,75,1125,32,3077,76,14,43,14,33,63,53,1069.88356315,1146.328492,1048.31335595,1341.200326,0.404324014480249,0.426612250679407
BANSGAON (SC),66,1127,39,2165,79,17,41,17,33,64,54,983.51900965,1471.5810625,990.68053555,1562.939671,0.411236038833908,0.380226289716896
AMBEDKAR NAGAR,75,1075,40,1519,79,19,46,21,42,62,58,1074.0313074,1330.30651785,1212.011064,1249.7343785,0.42751563954474,0.49033020175427
AMETHI,49,1063,31,1978,77,10,41,25,40,63,51,1023.29769515,2617.8025825,1121.26060845,1794.532183,0.472986663362376,0.418742652400084
AKBARPUR,51,887,48,1417,74,10,44,19,38,69,60,1156.9995485,1731.659015,1121.5003595,1727.422789,0.508362055285399,0.447502434410283
RAE BARELI,53,1049,31,1691,81,10,36,31,41,60,46,964.7207463,3171.572746,929.5448379,1742.301792,0.469958774812029,0.396292194047608
SULTANPUR,45,1078,32,2266,73,9,45,19,39,66,57,1081.874644,2064.032419,1312.976379,1846.762574,0.476014551912723,0.441193110752559
KANPUR,37,889,59,1744,76,10,43,24,41,73,58,1053.134896,1945.309192,1139.346961,1955.739344,0.532485260267365,0.441951473263071
JALAUN (SC),57,919,38,2107,80,9,42,24,41,76,59,1093.14429773333,1846.909394,1055.4872189,1888.365108,0.499983838537971,0.454302546949467
SALEMPUR,69,1110,38,2016,77,12,40,14,31,64,52,929.94817115,1222.767789,971.6551216,1327.2347975,0.461076518166236,0.417532874156501
LALGANJ (SC),74,1135,47,1946,84,20,40,16,33,61,59,1114.749336,1518.351497,1020.29994,1733.562566,0.394348607569485,0.418138361439384
AZAMGARH,74,1135,47,1946,84,20,40,16,33,61,59,1114.749336,1518.351497,1020.29994,1733.562566,0.394348607569485,0.418138361439384
GHOSI,71,1078,38,4036,75,20,40,16,33,60,50,943.02850555,1238.2369445,977.39170075,1279.199138,0.464044918142287,0.490171869188982
FATEHPUR,55,1008,32,1407,69,10,52,14,40,44,40,804.2316806,1148.139098,776.6446924,1214.131593,0.509180002911985,0.378199694863536
JAUNPUR,75,1115,39,1557,73,16,48,27,52,58,51,1004.626324,1439.822176,1115.000423,1522.028164,0.482394380776489,0.441636583301326
PRATAPGARH,84,1122,36,1755,77,5,41,23,42,61,51,811.3420388,1541.280138,869.8161034,1458.070514,0.436075461320261,0.469476234499028
HAMIRPUR,48,932,28,1823,82,7,43,24,43,65,57,926.1021558,1198.59670033333,942.620122133333,1245.35716466667,0.51813145337766,0.395562572517079
BALLIA,73,1088,39,2047,74,11,40,15,31,64,55,949.351706,1277.094867,1003.13387515,1314.4005635,0.488712654729769,0.444565487921292
KAUSHAMBI (SC),83,1073,28,1583,74,5,45,26,47,64,54,801.50058705,1193.1771981,839.4683406,1162.76946395,0.489895819033259,0.478434845123784
GHAZIPUR,77,1112,41,2090,75,7,41,17,31,68,61,1001.842411,1271.181107,1051.274913,1280.409653,0.460990893434578,0.43726925506564
MACHHLISHAHR (SC),73,1033,41,2074,77,16,46,26,49,58,51,1074.274074,1455.1433295,1125.3203685,1547.042844,0.48619232883031,0.48811778722633
PHULPUR,81,1034,43,1649,73,12,43,20,43,60,55,944.086154,3138.107191,991.4304529,3435.981583,0.508922613231839,0.51309224169887
BANDA,61,971,25,1185,74,9,48,25,47,67,61,780.96987845,926.1976603,806.16420935,955.44698675,0.525923532433705,0.450182982162204
JHANSI,57,937,30,968,84,11,38,33,44,76,51,1059.406449,1934.2372975,1065.5037715,2063.352749,0.53663787783818,0.448091522354646
BHADOHI,81,1055,38,1446,77,16,47,20,46,61,55,944.086154,3138.107191,991.4304529,3435.981583,0.508922613231839,0.51309224169887
CHANDAULI,74,978,42,2339,79,16,44,21,40,62,57,1128.863679,2055.6634015,1114.032709,2223.339207,0.508944247331505,0.464034748878939
ALLAHABAD,81,1034,43,1649,73,12,43,20,43,60,55,944.086154,3138.107191,991.4304529,3435.981583,0.508922613231839,0.51309224169887
VARANASI,72,951,44,2592,82,16,44,25,45,58,50,1143.921824,1470.464483,1135.640314,1572.057524,0.489990276884131,0.534598991151335
MIRZAPUR,80,955,34,1312,72,12,49,20,46,63,55,1023.544833,1010.059049,1022.708474,1168.620143,0.555463080951197,0.454162276080084
ROBERTSGANJ (SC),73,970,34,1973,67,14,44,20,40,62,62,1080.4251825,2309.718919,1019.0593035,2456.776486,0.560238436934001,0.445486813852585
